player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Kenedy,BRA,22,90.0,0,0,0,0,5,0,0,0,43.0,4.0,4,0.0,0.1,0.1,0.1,5.0,0.0,18.0,26.0,69.2,2.0,23.0,3.0,5.0,5.0,263.0,74.0,9.0,9.0,100.0,4.0,10.0,40.0,2.0,2.0,100.0,0.1,1.0,2.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,9.0,17.0,19.0,3.0,43.0,100.0,0.0,0.0,186.0,92.0,2.0,0.0,3.0,1.0,24.0,4.0,0,2,1,1,0.0,0.0,0,5.0,0.0,0.0,0.0,True,2018-2019,LM,None,None,None,1.0,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,22.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,43.0,4.0,4.0,0.0,0.1,0.1,0.1,5.0,0.0,18.0,26.0,69.2,2.0,23.0,3.0,5.0,5.0,263.0,74.0,9.0,9.0,100.0,4.0,10.0,40.0,2.0,2.0,100.0,0.1,1.0,2.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,9.0,17.0,19.0,3.0,43.0,100.0,0.0,0.0,186.0,92.0,2.0,0.0,3.0,1.0,24.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.0,113.0
Mohamed Diame,SEN,31,90.0,0,0,0,0,1,1,0,0,46.0,3.0,0,2.0,0.0,0.0,0.0,2.0,0.0,24.0,36.0,66.7,5.0,20.0,2.0,1.0,1.0,437.0,141.0,6.0,10.0,60.0,11.0,14.0,78.6,4.0,7.0,57.1,0.0,0.0,1.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,3.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,15.0,23.0,9.0,2.0,46.0,100.0,0.0,0.0,99.0,45.0,1.0,2.0,3.0,2.0,25.0,1.0,0,2,1,0,0.0,0.0,0,8.0,0.0,2.0,0.0,True,2018-2019,CM,None,None,None,1.0,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,24.0,36.0,66.7,5.0,20.0,2.0,1.0,1.0,437.0,141.0,6.0,10.0,60.0,11.0,14.0,78.6,4.0,7.0,57.1,0.0,0.0,1.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,15.0,23.0,9.0,2.0,46.0,100.0,0.0,0.0,99.0,45.0,1.0,2.0,3.0,2.0,25.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,0.5,2.0,1.0,0.0,113.0
Jonjo Shelvey,ENG,26,50.0,0,0,0,0,1,0,0,0,30.0,0.0,1,2.0,0.1,0.1,0.0,0.0,0.0,13.0,24.0,54.2,0.0,10.0,1.0,0.0,0.0,329.0,103.0,4.0,6.0,66.7,4.0,7.0,57.1,5.0,9.0,55.6,0.1,0.0,0.0,0.0,0.0,18.0,5.0,3.0,0.0,1.0,2,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,16.0,7.0,1.0,30.0,0.0,0.0,0.0,33.0,17.0,0.0,0.0,1.0,0.0,14.0,1.0,0,1,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,True,2018-2019,CM,None,None,None,0.5555555555555556,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,46.8,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,0.0,54.0,0.0,1.7999999999999998,3.5999999999999996,0.18,0.18,0.0,0.0,0.0,23.4,43.199999999999996,97.56,0.0,18.0,1.7999999999999998,0.0,0.0,592.1999999999999,185.4,7.199999999999999,10.799999999999999,120.06,7.199999999999999,12.6,102.78,9.0,16.2,100.08,0.18,0.0,0.0,0.0,0.0,32.4,9.0,5.3999999999999995,0.0,1.7999999999999998,3.5999999999999996,0.0,3.5999999999999996,1.7999999999999998,1.7999999999999998,0.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,1.7999999999999998,1.7999999999999998,0.0,0.0,0.0,12.6,28.799999999999997,12.6,1.7999999999999998,54.0,0.0,0.0,0.0,59.4,30.599999999999998,0.0,0.0,1.7999999999999998,0.0,25.2,1.7999999999999998,0.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,5.3999999999999995,0.0,0.0,0.0,1.0,0.8999999999999999,3.5999999999999996,1.7999999999999998,0.0,203.39999999999998
Ki Sung-yueng,KOR,29,40.0,0,1,0,0,1,0,0,0,28.0,0.0,0,0.0,0.1,0.1,0.1,3.0,1.0,19.0,23.0,82.6,2.0,15.0,3.0,0.0,0.0,331.0,118.0,11.0,12.0,91.7,2.0,3.0,66.7,4.0,6.0,66.7,0.0,1.0,2.0,0.0,0.0,20.0,3.0,1.0,0.0,1.0,2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,15.0,9.0,0.0,28.0,0.0,0.0,0.0,103.0,56.0,2.0,0.0,1.0,0.0,17.0,1.0,0,0,1,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,2018-2019,CM,None,None,None,0.4444444444444444,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,65.25,0.0,2.25,0.0,0.0,2.25,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.22500000000000003,0.22500000000000003,0.22500000000000003,6.75,2.25,42.75,51.75,185.85,4.5,33.75,6.75,0.0,0.0,744.75,265.5,24.75,27.0,206.32500000000002,4.5,6.75,150.07500000000002,9.0,13.5,150.07500000000002,0.0,2.25,4.5,0.0,0.0,45.0,6.75,2.25,0.0,2.25,4.5,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,2.25,9.0,33.75,20.25,0.0,63.0,0.0,0.0,0.0,231.75,126.0,4.5,0.0,2.25,0.0,38.25,2.25,0.0,0.0,2.25,0.0,0.0,0.0,0.0,2.25,2.25,0.0,225.0,1.0,1.125,4.5,2.25,0.0,254.25
Matt Ritchie,SCO,29,90.0,0,0,0,0,0,0,0,0,45.0,3.0,2,0.0,0.0,0.0,0.0,1.0,0.0,18.0,32.0,56.3,4.0,19.0,1.0,0.0,0.0,308.0,88.0,10.0,12.0,83.3,5.0,8.0,62.5,2.0,10.0,20.0,0.0,1.0,1.0,1.0,0.0,27.0,5.0,1.0,0.0,2.0,6,0.0,4.0,3.0,1.0,0.0,0.0,1.0,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,8.0,21.0,18.0,1.0,45.0,0.0,0.0,0.0,94.0,33.0,2.0,0.0,5.0,0.0,19.0,3.0,0,1,2,0,0.0,0.0,0,9.0,2.0,6.0,25.0,True,2018-2019,RM,None,None,None,1.0,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,32.0,56.3,4.0,19.0,1.0,0.0,0.0,308.0,88.0,10.0,12.0,83.3,5.0,8.0,62.5,2.0,10.0,20.0,0.0,1.0,1.0,1.0,0.0,27.0,5.0,1.0,0.0,2.0,6.0,0.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,8.0,21.0,18.0,1.0,45.0,0.0,0.0,0.0,94.0,33.0,2.0,0.0,5.0,0.0,19.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,25.0,1.0,0.5,2.0,1.0,0.0,113.0
Paul Dummett,WAL,27,90.0,0,0,0,0,0,0,0,0,48.0,1.0,0,1.0,0.0,0.0,0.0,3.0,0.0,24.0,38.0,63.2,3.0,13.0,0.0,0.0,0.0,345.0,132.0,13.0,14.0,92.9,10.0,18.0,55.6,1.0,4.0,25.0,0.0,1.0,3.0,0.0,0.0,28.0,10.0,0.0,0.0,0.0,0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,7.0,16.0,29.0,3.0,0.0,48.0,0.0,0.0,0.0,26.0,10.0,0.0,0.0,0.0,0.0,16.0,1.0,0,1,1,1,0.0,0.0,0,5.0,3.0,1.0,75.0,True,2018-2019,LB,None,None,None,1.0,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,24.0,38.0,63.2,3.0,13.0,0.0,0.0,0.0,345.0,132.0,13.0,14.0,92.9,10.0,18.0,55.6,1.0,4.0,25.0,0.0,1.0,3.0,0.0,0.0,28.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,7.0,16.0,29.0,3.0,0.0,48.0,0.0,0.0,0.0,26.0,10.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0,1.0,0.5,2.0,1.0,0.0,113.0
Federico Fernandez,ARG,29,90.0,0,0,0,0,0,0,0,0,40.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,89.3,1.0,16.0,0.0,0.0,0.0,590.0,124.0,4.0,4.0,100.0,15.0,17.0,88.2,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,3.0,7.0,0.0,5.0,23.0,17.0,0.0,0.0,40.0,0.0,0.0,0.0,88.0,26.0,0.0,0.0,0.0,0.0,17.0,0.0,0,0,0,0,0.0,0.0,0,4.0,4.0,2.0,66.7,True,2018-2019,CB,None,None,None,1.0,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,89.3,1.0,16.0,0.0,0.0,0.0,590.0,124.0,4.0,4.0,100.0,15.0,17.0,88.2,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,3.0,7.0,0.0,5.0,23.0,17.0,0.0,0.0,40.0,0.0,0.0,0.0,88.0,26.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,66.7,1.0,0.5,2.0,1.0,0.0,113.0
Jamaal Lascelles,ENG,24,45.0,0,0,0,0,0,0,0,0,33.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,80.0,1.0,15.0,0.0,0.0,0.0,453.0,169.0,4.0,5.0,80.0,15.0,18.0,83.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,6.0,15.0,16.0,2.0,1.0,33.0,0.0,0.0,0.0,53.0,6.0,0.0,0.0,0.0,0.0,18.0,0.0,0,0,0,0,0.0,0.0,0,2.0,1.0,0.0,100.0,True,2018-2019,CB,None,None,None,0.5,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,160.0,2.0,30.0,0.0,0.0,0.0,906.0,338.0,8.0,10.0,160.0,30.0,36.0,166.6,2.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,12.0,30.0,32.0,4.0,2.0,66.0,0.0,0.0,0.0,106.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,200.0,1.0,1.0,4.0,2.0,0.0,226.0
Fabian Schar,SUI,26,45.0,0,0,0,0,0,0,1,0,28.0,2.0,3,0.0,0.0,0.0,0.0,1.0,0.0,15.0,22.0,68.2,1.0,8.0,0.0,0.0,0.0,391.0,148.0,2.0,5.0,40.0,10.0,11.0,90.9,3.0,6.0,50.0,0.0,0.0,1.0,0.0,0.0,21.0,1.0,1.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,15.0,10.0,3.0,2.0,28.0,0.0,0.0,0.0,56.0,31.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,1,0,0.0,0.0,0,3.0,3.0,2.0,60.0,True,2018-2019,CB,None,None,None,0.5,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,56.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,44.0,136.4,2.0,16.0,0.0,0.0,0.0,782.0,296.0,4.0,10.0,80.0,20.0,22.0,181.8,6.0,12.0,100.0,0.0,0.0,2.0,0.0,0.0,42.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,4.0,100.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,30.0,20.0,6.0,4.0,56.0,0.0,0.0,0.0,112.0,62.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,120.0,1.0,1.0,4.0,2.0,0.0,226.0
DeAndre Yedlin,USA,25,90.0,0,0,0,0,0,0,0,0,62.0,4.0,1,2.0,0.0,0.0,0.0,1.0,0.0,30.0,44.0,68.2,2.0,18.0,2.0,0.0,0.0,526.0,296.0,18.0,21.0,85.7,7.0,14.0,50.0,4.0,6.0,66.7,0.0,0.0,1.0,1.0,0.0,30.0,13.0,1.0,0.0,1.0,3,12.0,0.0,0.0,0.0,0.0,1.0,1.0,3,3.0,1.0,0.0,3.0,5.0,60.0,2.0,1.0,1.0,5.0,6.0,0.0,6.0,35.0,20.0,7.0,0.0,62.0,0.0,0.0,0.0,62.0,41.0,2.0,0.0,2.0,0.0,24.0,3.0,0,0,0,0,0.0,0.0,0,2.0,1.0,4.0,20.0,True,2018-2019,RB,None,None,None,1.0,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,30.0,44.0,68.2,2.0,18.0,2.0,0.0,0.0,526.0,296.0,18.0,21.0,85.7,7.0,14.0,50.0,4.0,6.0,66.7,0.0,0.0,1.0,1.0,0.0,30.0,13.0,1.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,3.0,5.0,60.0,2.0,1.0,1.0,5.0,6.0,0.0,6.0,35.0,20.0,7.0,0.0,62.0,0.0,0.0,0.0,62.0,41.0,2.0,0.0,2.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,20.0,1.0,0.5,2.0,1.0,0.0,113.0
Martin Dubravka,SVK,29,90.0,0,0,0,0,0,0,0,0,27.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,48.0,0.0,9.0,0.0,0.0,0.0,495.0,447.0,2.0,2.0,100.0,4.0,4.0,100.0,6.0,19.0,31.6,0.0,0.0,0.0,0.0,0.0,14.0,11.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,64.0,47.0,0.0,0.0,0.0,0.0,11.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2018-2019,GK,None,None,None,1.0,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,48.0,0.0,9.0,0.0,0.0,0.0,495.0,447.0,2.0,2.0,100.0,4.0,4.0,100.0,6.0,19.0,31.6,0.0,0.0,0.0,0.0,0.0,14.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,64.0,47.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.0,113.0
Isaac Success,NGA,22,84.0,0,0,0,0,3,1,0,0,37.0,0.0,0,0.0,0.2,0.2,0.5,8.0,0.0,17.0,23.0,73.9,5.0,31.0,2.0,3.0,2.0,291.0,73.0,8.0,9.0,88.9,7.0,9.0,77.8,2.0,2.0,100.0,0.1,3.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,15.0,21.0,5.0,37.0,66.7,1.0,33.3,156.0,87.0,4.0,2.0,5.0,2.0,29.0,12.0,0,0,1,1,0.0,0.0,0,10.0,2.0,5.0,28.6,False,2018-2019,FW,None,None,None,0.9333333333333333,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,23.57142857142857,0.0,0.0,0.0,0.0,3.2142857142857144,1.0714285714285714,0.0,0.0,39.64285714285714,0.0,0.0,0.0,0.2142857142857143,0.2142857142857143,0.5357142857142857,8.571428571428571,0.0,18.214285714285715,24.642857142857142,79.17857142857143,5.357142857142857,33.214285714285715,2.142857142857143,3.2142857142857144,2.142857142857143,311.7857142857143,78.21428571428571,8.571428571428571,9.642857142857142,95.25,7.5,9.642857142857142,83.35714285714285,2.142857142857143,2.142857142857143,107.14285714285714,0.10714285714285715,3.2142857142857144,0.0,1.0714285714285714,0.0,24.642857142857142,0.0,0.0,0.0,1.0714285714285714,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,0.0,1.0714285714285714,4.285714285714286,16.07142857142857,22.5,5.357142857142857,39.64285714285714,71.46428571428572,1.0714285714285714,35.67857142857142,167.14285714285714,93.21428571428571,4.285714285714286,2.142857142857143,5.357142857142857,2.142857142857143,31.07142857142857,12.857142857142858,0.0,0.0,1.0714285714285714,1.0714285714285714,0.0,0.0,0.0,10.714285714285714,2.142857142857143,5.357142857142857,30.642857142857142,1.0,0.5357142857142857,2.142857142857143,1.0714285714285714,0.0,121.07142857142857
Nathaniel Chalobah,ENG,23,6.0,0,0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,1.0,3.0,0.0,1.0,0.0,20.0,17.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,0.0,1.0,100.0,7.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0,1,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,False,2018-2019,DM,None,None,None,0.06666666666666667,Newcastle_Utd_Watford,Newcastle_Utd_Watford_2018,0.5,2.0,1.0,0.0,2018-11-03,Craig Pawson,St. James' Park,Sat,15:00,"49,157",113,Newcastle Utd,Watford,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,1000.5,15.0,45.0,0.0,15.0,0.0,300.0,255.0,30.0,30.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,45.0,15.0,75.0,0.0,15.0,1500.0,105.0,15.0,0.0,0.0,15.0,15.0,75.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1500.0,1.0,7.5,30.0,15.0,0.0,1695.0
