player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Nicolas Otamendi,ARG,31,28.0,0,0,0,0,0,0,0,0,32.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,29.0,89.7,0.0,26.0,0.0,0.0,0.0,401.0,61.0,13.0,14.0,92.9,13.0,13.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,10.0,22.0,0.0,0.0,32.0,0.0,0.0,0.0,97.0,49.0,0.0,0.0,0.0,0.0,25.0,0.0,0,0,0,0,0.0,0.0,0,2.0,1.0,1.0,50.0,False,Manchester City,Aston Villa,22,2019-2020,CB,None,None,None,2019,0.3111111111111111,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2019,Aston Villa,Manchester City,2019,22,Aston Villa,1.1,2.8,Manchester City,1.0,6.0,2020-01-12,Jonathan Moss,Villa Park,Sun,16:30,"41,823",239,Manchester City,Aston Villa,Aston Villa,Manchester City,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2019,99.64285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.85714285714286,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.57142857142857,93.21428571428571,288.32142857142856,0.0,83.57142857142857,0.0,0.0,0.0,1288.9285714285713,196.07142857142856,41.785714285714285,45.0,298.6071428571429,41.785714285714285,41.785714285714285,321.42857142857144,0.0,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,93.21428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,3.2142857142857144,0.0,0.0,0.0,3.2142857142857144,0.0,3.2142857142857144,0.0,0.0,3.2142857142857144,6.428571428571429,0.0,16.07142857142857,32.14285714285714,70.71428571428571,0.0,0.0,102.85714285714286,0.0,0.0,0.0,311.7857142857143,157.5,0.0,0.0,0.0,0.0,80.35714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,3.2142857142857144,3.2142857142857144,160.71428571428572,1.0,3.535714285714286,9.0,3.2142857142857144,19.285714285714285,768.2142857142857
John Stones,ENG,25,90.0,0,0,0,0,0,0,0,0,105.0,1.0,1,0.0,0.0,0.0,0.0,1.0,1.0,100.0,103.0,97.1,3.0,92.0,0.0,0.0,0.0,1839.0,713.0,37.0,38.0,97.4,55.0,56.0,98.2,6.0,6.0,100.0,0.0,0.0,2.0,0.0,0.0,102.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,14.0,43.0,62.0,0.0,0.0,105.0,0.0,0.0,0.0,535.0,278.0,0.0,0.0,0.0,0.0,92.0,0.0,0,1,0,0,0.0,0.0,0,5.0,2.0,1.0,66.7,False,Manchester City,Aston Villa,22,2019-2020,CB,None,None,None,2019,1.0,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2019,Aston Villa,Manchester City,2019,22,Aston Villa,1.1,2.8,Manchester City,1.0,6.0,2020-01-12,Jonathan Moss,Villa Park,Sun,16:30,"41,823",239,Manchester City,Aston Villa,Aston Villa,Manchester City,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2019,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,103.0,97.1,3.0,92.0,0.0,0.0,0.0,1839.0,713.0,37.0,38.0,97.4,55.0,56.0,98.2,6.0,6.0,100.0,0.0,0.0,2.0,0.0,0.0,102.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,14.0,43.0,62.0,0.0,0.0,105.0,0.0,0.0,0.0,535.0,278.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7,1.0,1.1,2.8,1.0,6.0,239.0
Joao Cancelo,POR,25,90.0,0,0,0,0,2,1,0,0,126.0,5.0,3,1.0,0.0,0.0,0.1,5.0,2.0,100.0,107.0,93.5,4.0,105.0,7.0,7.0,5.0,1331.0,306.0,62.0,65.0,95.4,28.0,30.0,93.3,6.0,8.0,75.0,0.0,1.0,5.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.0,1.0,0.0,3.0,4.0,75.0,1.0,0.0,1.0,8.0,0.0,0.0,3.0,24.0,81.0,24.0,3.0,126.0,71.4,2.0,28.6,567.0,301.0,4.0,1.0,0.0,0.0,98.0,3.0,0,1,0,0,0.0,0.0,0,9.0,1.0,2.0,33.3,False,Manchester City,Aston Villa,22,2019-2020,RB,None,None,None,2019,1.0,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2019,Aston Villa,Manchester City,2019,22,Aston Villa,1.1,2.8,Manchester City,1.0,6.0,2020-01-12,Jonathan Moss,Villa Park,Sun,16:30,"41,823",239,Manchester City,Aston Villa,Aston Villa,Manchester City,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2019,25.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,126.0,5.0,3.0,1.0,0.0,0.0,0.1,5.0,2.0,100.0,107.0,93.5,4.0,105.0,7.0,7.0,5.0,1331.0,306.0,62.0,65.0,95.4,28.0,30.0,93.3,6.0,8.0,75.0,0.0,1.0,5.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,75.0,1.0,0.0,1.0,8.0,0.0,0.0,3.0,24.0,81.0,24.0,3.0,126.0,71.4,2.0,28.6,567.0,301.0,4.0,1.0,0.0,0.0,98.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3,1.0,1.1,2.8,1.0,6.0,239.0
Ederson,BRA,26,90.0,0,0,0,0,0,0,0,0,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,95.2,0.0,16.0,0.0,0.0,0.0,382.0,206.0,9.0,9.0,100.0,7.0,7.0,100.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,42.0,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,Manchester City,Aston Villa,22,2019-2020,GK,None,None,None,2019,1.0,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2019,Aston Villa,Manchester City,2019,22,Aston Villa,1.1,2.8,Manchester City,1.0,6.0,2020-01-12,Jonathan Moss,Villa Park,Sun,16:30,"41,823",239,Manchester City,Aston Villa,Aston Villa,Manchester City,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2019,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,95.2,0.0,16.0,0.0,0.0,0.0,382.0,206.0,9.0,9.0,100.0,7.0,7.0,100.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,42.0,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,2.8,1.0,6.0,239.0
Bernardo Silva,POR,26,90.0,1,0,0,0,2,2,0,0,66.0,2.0,3,1.0,0.4,0.4,0.0,5.0,0.0,47.0,52.0,90.4,5.0,41.0,4.0,7.0,3.0,649.0,88.0,27.0,28.0,96.4,11.0,13.0,84.6,4.0,6.0,66.7,0.0,0.0,5.0,0.0,0.0,47.0,5.0,1.0,0.0,1.0,1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,7.0,27.0,33.0,5.0,66.0,42.9,4.0,57.1,258.0,149.0,5.0,1.0,1.0,0.0,53.0,10.0,0,1,4,2,0.0,0.0,0,4.0,0.0,0.0,0.0,True,Manchester City,Aston Villa,1,2020-2021,FW,None,None,None,2020,1.0,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2020,Manchester City,Aston Villa,2020,1,Manchester City,3.4,0.6,Aston Villa,2.0,0.0,2021-01-20,Jonathan Moss,Etihad Stadium,Wed,18:00,0,205,Manchester City,Aston Villa,Manchester City,Aston Villa,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2020,26.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,66.0,2.0,3.0,1.0,0.4,0.4,0.0,5.0,0.0,47.0,52.0,90.4,5.0,41.0,4.0,7.0,3.0,649.0,88.0,27.0,28.0,96.4,11.0,13.0,84.6,4.0,6.0,66.7,0.0,0.0,5.0,0.0,0.0,47.0,5.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,7.0,27.0,33.0,5.0,66.0,42.9,4.0,57.1,258.0,149.0,5.0,1.0,1.0,0.0,53.0,10.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.4,0.6,2.0,0.0,205.0
Phil Foden,ENG,20,90.0,0,0,0,0,5,1,0,0,74.0,1.0,1,0.0,0.4,0.4,0.0,9.0,0.0,47.0,62.0,75.8,6.0,45.0,11.0,6.0,3.0,577.0,192.0,36.0,41.0,87.8,10.0,16.0,62.5,0.0,3.0,0.0,0.3,0.0,1.0,3.0,0.0,54.0,8.0,0.0,0.0,0.0,9,0.0,8.0,0.0,3.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,8.0,63.0,18.0,74.0,50.0,3.0,50.0,379.0,329.0,5.0,6.0,0.0,0.0,56.0,29.0,0,0,1,0,0.0,0.0,0,5.0,2.0,0.0,100.0,True,Manchester City,Aston Villa,1,2020-2021,LW,None,None,None,2020,1.0,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2020,Manchester City,Aston Villa,2020,1,Manchester City,3.4,0.6,Aston Villa,2.0,0.0,2021-01-20,Jonathan Moss,Etihad Stadium,Wed,18:00,0,205,Manchester City,Aston Villa,Manchester City,Aston Villa,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2020,20.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,74.0,1.0,1.0,0.0,0.4,0.4,0.0,9.0,0.0,47.0,62.0,75.8,6.0,45.0,11.0,6.0,3.0,577.0,192.0,36.0,41.0,87.8,10.0,16.0,62.5,0.0,3.0,0.0,0.3,0.0,1.0,3.0,0.0,54.0,8.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,8.0,63.0,18.0,74.0,50.0,3.0,50.0,379.0,329.0,5.0,6.0,0.0,0.0,56.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0,1.0,3.4,0.6,2.0,0.0,205.0
Raheem Sterling,ENG,26,71.0,0,0,0,0,2,0,0,0,35.0,1.0,0,1.0,0.2,0.2,0.0,3.0,0.0,21.0,26.0,80.8,0.0,25.0,6.0,4.0,1.0,235.0,72.0,13.0,14.0,92.9,2.0,3.0,66.7,2.0,2.0,100.0,0.1,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,24.0,11.0,35.0,25.0,3.0,75.0,176.0,121.0,3.0,4.0,1.0,2.0,26.0,9.0,0,2,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Manchester City,Aston Villa,1,2020-2021,RW,None,None,None,2020,0.7888888888888889,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2020,Manchester City,Aston Villa,2020,1,Manchester City,3.4,0.6,Aston Villa,2.0,0.0,2021-01-20,Jonathan Moss,Etihad Stadium,Wed,18:00,0,205,Manchester City,Aston Villa,Manchester City,Aston Villa,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2020,32.95774647887324,0.0,0.0,0.0,0.0,2.535211267605634,0.0,0.0,0.0,44.36619718309859,1.267605633802817,0.0,1.267605633802817,0.2535211267605634,0.2535211267605634,0.0,3.802816901408451,0.0,26.619718309859156,32.95774647887324,102.4225352112676,0.0,31.690140845070424,7.605633802816902,5.070422535211268,1.267605633802817,297.88732394366195,91.26760563380282,16.47887323943662,17.746478873239436,117.7605633802817,2.535211267605634,3.802816901408451,84.54929577464789,2.535211267605634,2.535211267605634,126.7605633802817,0.1267605633802817,0.0,1.267605633802817,0.0,0.0,31.690140845070424,0.0,0.0,0.0,0.0,1.267605633802817,0.0,0.0,0.0,0.0,0.0,1.267605633802817,1.267605633802817,1.267605633802817,1.267605633802817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.267605633802817,1.267605633802817,0.0,0.0,0.0,2.535211267605634,11.408450704225352,30.422535211267608,13.943661971830986,44.36619718309859,31.690140845070424,3.802816901408451,95.07042253521126,223.09859154929578,153.38028169014086,3.802816901408451,5.070422535211268,1.267605633802817,2.535211267605634,32.95774647887324,11.408450704225352,0.0,2.535211267605634,0.0,0.0,0.0,0.0,0.0,2.535211267605634,0.0,0.0,0.0,1.0,4.309859154929578,0.7605633802816901,2.535211267605634,0.0,259.85915492957747
Riyad Mahrez,ALG,29,19.0,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,9.0,77.8,0.0,6.0,3.0,0.0,0.0,123.0,51.0,2.0,4.0,50.0,3.0,3.0,100.0,1.0,1.0,100.0,0.3,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,9.0,0.0,0.0,0.0,83.0,67.0,0.0,3.0,0.0,0.0,7.0,3.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Manchester City,Aston Villa,1,2020-2021,FW,MF,None,None,2020,0.2111111111111111,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2020,Manchester City,Aston Villa,2020,1,Manchester City,3.4,0.6,Aston Villa,2.0,0.0,2021-01-20,Jonathan Moss,Etihad Stadium,Wed,18:00,0,205,Manchester City,Aston Villa,Manchester City,Aston Villa,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2020,137.3684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.63157894736842,0.0,0.0,0.0,0.0,0.0,0.0,4.7368421052631575,0.0,33.1578947368421,42.63157894736842,368.5263157894737,0.0,28.42105263157895,14.210526315789474,0.0,0.0,582.6315789473684,241.57894736842104,9.473684210526315,18.94736842105263,236.8421052631579,14.210526315789474,14.210526315789474,473.6842105263158,4.7368421052631575,4.7368421052631575,473.6842105263158,1.4210526315789473,0.0,0.0,0.0,0.0,37.89473684210526,4.7368421052631575,0.0,0.0,0.0,9.473684210526315,0.0,4.7368421052631575,4.7368421052631575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7368421052631575,4.7368421052631575,33.1578947368421,14.210526315789474,42.63157894736842,0.0,0.0,0.0,393.1578947368421,317.36842105263156,0.0,14.210526315789474,0.0,0.0,33.1578947368421,14.210526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.105263157894736,2.8421052631578947,9.473684210526315,0.0,971.0526315789474
Ilkay Gundogan,GER,30,90.0,1,0,1,1,5,1,0,0,75.0,1.0,0,0.0,1.2,0.4,0.0,7.0,0.0,59.0,63.0,93.7,11.0,43.0,0.0,2.0,1.0,978.0,210.0,21.0,23.0,91.3,26.0,26.0,100.0,6.0,7.0,85.7,0.1,0.0,6.0,3.0,0.0,63.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,30.0,35.0,9.0,74.0,50.0,1.0,50.0,133.0,40.0,0.0,0.0,2.0,1.0,60.0,7.0,0,1,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,Manchester City,Aston Villa,1,2020-2021,LM,None,None,None,2020,1.0,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2020,Manchester City,Aston Villa,2020,1,Manchester City,3.4,0.6,Aston Villa,2.0,0.0,2021-01-20,Jonathan Moss,Etihad Stadium,Wed,18:00,0,205,Manchester City,Aston Villa,Manchester City,Aston Villa,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2020,30.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,75.0,1.0,0.0,0.0,1.2,0.4,0.0,7.0,0.0,59.0,63.0,93.7,11.0,43.0,0.0,2.0,1.0,978.0,210.0,21.0,23.0,91.3,26.0,26.0,100.0,6.0,7.0,85.7,0.1,0.0,6.0,3.0,0.0,63.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,30.0,35.0,9.0,74.0,50.0,1.0,50.0,133.0,40.0,0.0,0.0,2.0,1.0,60.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.4,0.6,2.0,0.0,205.0
Rodri,ESP,24,90.0,0,1,0,0,3,1,0,0,102.0,4.0,1,1.0,0.2,0.2,0.0,10.0,1.0,80.0,91.0,87.9,8.0,49.0,1.0,1.0,1.0,1286.0,311.0,36.0,40.0,90.0,33.0,37.0,89.2,6.0,8.0,75.0,0.4,0.0,6.0,3.0,1.0,89.0,2.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2.0,2.0,2.0,2.0,100.0,0.0,1.0,0.0,5.0,4.0,0.0,6.0,16.0,62.0,25.0,4.0,102.0,100.0,0.0,0.0,214.0,121.0,2.0,0.0,0.0,0.0,75.0,2.0,0,1,1,0,0.0,0.0,0,11.0,9.0,0.0,100.0,True,Manchester City,Aston Villa,1,2020-2021,CM,None,None,None,2020,1.0,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2020,Manchester City,Aston Villa,2020,1,Manchester City,3.4,0.6,Aston Villa,2.0,0.0,2021-01-20,Jonathan Moss,Etihad Stadium,Wed,18:00,0,205,Manchester City,Aston Villa,Manchester City,Aston Villa,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2020,24.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,102.0,4.0,1.0,1.0,0.2,0.2,0.0,10.0,1.0,80.0,91.0,87.9,8.0,49.0,1.0,1.0,1.0,1286.0,311.0,36.0,40.0,90.0,33.0,37.0,89.2,6.0,8.0,75.0,0.4,0.0,6.0,3.0,1.0,89.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,100.0,0.0,1.0,0.0,5.0,4.0,0.0,6.0,16.0,62.0,25.0,4.0,102.0,100.0,0.0,0.0,214.0,121.0,2.0,0.0,0.0,0.0,75.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,100.0,1.0,3.4,0.6,2.0,0.0,205.0
Kevin De Bruyne,BEL,29,58.0,0,0,0,0,3,1,0,0,50.0,0.0,0,0.0,0.1,0.1,0.0,7.0,0.0,34.0,47.0,72.3,8.0,23.0,2.0,0.0,0.0,603.0,126.0,11.0,13.0,84.6,15.0,16.0,93.8,5.0,12.0,41.7,0.1,0.0,2.0,2.0,0.0,40.0,6.0,1.0,0.0,0.0,7,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,31.0,2.0,50.0,0.0,0.0,0.0,125.0,84.0,0.0,1.0,0.0,0.0,41.0,4.0,0,1,1,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,Manchester City,Aston Villa,1,2020-2021,RM,None,None,None,2020,0.6444444444444445,Aston_Villa_Manchester_City,Aston_Villa_Manchester_City_2020,Manchester City,Aston Villa,2020,1,Manchester City,3.4,0.6,Aston Villa,2.0,0.0,2021-01-20,Jonathan Moss,Etihad Stadium,Wed,18:00,0,205,Manchester City,Aston Villa,Manchester City,Aston Villa,Aston_Villa_Manchester_City,Aston Villa_Manchester City_2020,45.0,0.0,0.0,0.0,0.0,4.655172413793103,1.5517241379310345,0.0,0.0,77.58620689655172,0.0,0.0,0.0,0.15517241379310345,0.15517241379310345,0.0,10.86206896551724,0.0,52.75862068965517,72.93103448275862,112.18965517241378,12.413793103448276,35.689655172413794,3.103448275862069,0.0,0.0,935.6896551724137,195.51724137931032,17.068965517241377,20.17241379310345,131.2758620689655,23.275862068965516,24.82758620689655,145.55172413793102,7.758620689655172,18.620689655172413,64.70689655172414,0.15517241379310345,0.0,3.103448275862069,3.103448275862069,0.0,62.068965517241374,9.310344827586206,1.5517241379310345,0.0,0.0,10.86206896551724,0.0,7.758620689655172,0.0,7.758620689655172,0.0,1.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,1.5517241379310345,0.0,1.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,7.758620689655172,23.275862068965516,48.103448275862064,3.103448275862069,77.58620689655172,0.0,0.0,0.0,193.9655172413793,130.3448275862069,0.0,1.5517241379310345,0.0,0.0,63.62068965517241,6.206896551724138,0.0,1.5517241379310345,1.5517241379310345,0.0,0.0,0.0,0.0,4.655172413793103,1.5517241379310345,1.5517241379310345,77.58620689655172,1.0,5.275862068965517,0.9310344827586206,3.103448275862069,0.0,318.10344827586204
