player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Dominic Solanke,ENG,22,90.0,0,0,0,0,3,1,0,0,35.0,0.0,0,0.0,0.2,0.2,0.0,4.0,1.0,21.0,26.0,80.8,5.0,21.0,0.0,2.0,0.0,290.0,50.0,14.0,16.0,87.5,6.0,8.0,75.0,1.0,1.0,100.0,0.1,1.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,12.0,3.0,35.0,0.0,2.0,100.0,101.0,23.0,1.0,0.0,2.0,2.0,25.0,3.0,0,0,1,0,0.0,0.0,0,7.0,7.0,7.0,50.0,True,Bournemouth,Everton,5,2019-2020,FW,None,None,None,2019,1.0,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,22.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.2,0.2,0.0,4.0,1.0,21.0,26.0,80.8,5.0,21.0,0.0,2.0,0.0,290.0,50.0,14.0,16.0,87.5,6.0,8.0,75.0,1.0,1.0,100.0,0.1,1.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,12.0,3.0,35.0,0.0,2.0,100.0,101.0,23.0,1.0,0.0,2.0,2.0,25.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,50.0,1.0,1.4,1.5,3.0,1.0,51.0
Joshua King,NOR,27,90.0,0,1,0,0,1,1,0,0,44.0,4.0,1,0.0,0.0,0.0,0.6,8.0,2.0,15.0,22.0,68.2,2.0,33.0,5.0,7.0,4.0,191.0,52.0,9.0,11.0,81.8,4.0,6.0,66.7,1.0,2.0,50.0,0.0,4.0,2.0,0.0,0.0,19.0,3.0,2.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,7.0,20.0,21.0,4.0,44.0,57.1,3.0,42.9,323.0,142.0,4.0,2.0,6.0,4.0,26.0,10.0,0,0,5,0,0.0,0.0,0,10.0,3.0,2.0,60.0,True,Bournemouth,Everton,5,2019-2020,LM,None,None,None,2019,1.0,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,27.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0,4.0,1.0,0.0,0.0,0.0,0.6,8.0,2.0,15.0,22.0,68.2,2.0,33.0,5.0,7.0,4.0,191.0,52.0,9.0,11.0,81.8,4.0,6.0,66.7,1.0,2.0,50.0,0.0,4.0,2.0,0.0,0.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,7.0,20.0,21.0,4.0,44.0,57.1,3.0,42.9,323.0,142.0,4.0,2.0,6.0,4.0,26.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,60.0,1.0,1.4,1.5,3.0,1.0,51.0
Lewis Cook,ENG,22,76.0,0,0,0,0,0,0,0,0,41.0,1.0,2,0.0,0.0,0.0,0.0,3.0,0.0,26.0,35.0,74.3,2.0,28.0,2.0,2.0,0.0,488.0,132.0,12.0,13.0,92.3,10.0,13.0,76.9,4.0,7.0,57.1,0.0,0.0,2.0,0.0,0.0,31.0,3.0,2.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,1.0,0.0,2.0,10.0,24.0,7.0,0.0,41.0,0.0,2.0,100.0,196.0,85.0,0.0,0.0,0.0,0.0,24.0,0.0,0,1,1,0,0.0,0.0,0,7.0,0.0,0.0,0.0,True,Bournemouth,Everton,5,2019-2020,CM,None,None,None,2019,0.8444444444444444,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,26.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.55263157894737,1.1842105263157894,2.3684210526315788,0.0,0.0,0.0,0.0,3.5526315789473686,0.0,30.789473684210527,41.44736842105263,87.98684210526315,2.3684210526315788,33.1578947368421,2.3684210526315788,2.3684210526315788,0.0,577.8947368421053,156.31578947368422,14.210526315789474,15.394736842105264,109.30263157894737,11.842105263157896,15.394736842105264,91.06578947368422,4.7368421052631575,8.289473684210526,67.61842105263158,0.0,0.0,2.3684210526315788,0.0,0.0,36.71052631578947,3.5526315789473686,2.3684210526315788,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,0.0,0.0,1.1842105263157894,0.0,0.0,0.0,1.1842105263157894,0.0,1.1842105263157894,3.5526315789473686,39.43421052631579,2.3684210526315788,0.0,0.0,3.5526315789473686,1.1842105263157894,0.0,2.3684210526315788,11.842105263157896,28.42105263157895,8.289473684210526,0.0,48.55263157894737,0.0,2.3684210526315788,118.42105263157895,232.10526315789474,100.65789473684211,0.0,0.0,0.0,0.0,28.42105263157895,0.0,0.0,1.1842105263157894,1.1842105263157894,0.0,0.0,0.0,0.0,8.289473684210526,0.0,0.0,0.0,1.0,1.657894736842105,1.7763157894736843,3.5526315789473686,1.1842105263157894,60.39473684210526
Jefferson Lerma,COL,24,14.0,0,0,0,0,0,0,0,0,8.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,47.0,16.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,8.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Bournemouth,Everton,5,2019-2020,CM,None,None,None,2019,0.15555555555555556,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,154.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857142857143,6.428571428571429,6.428571428571429,6.428571428571429,0.0,0.0,0.0,0.0,0.0,12.857142857142858,25.714285714285715,321.42857142857144,0.0,12.857142857142858,0.0,0.0,0.0,302.1428571428571,102.85714285714286,0.0,6.428571428571429,0.0,6.428571428571429,12.857142857142858,321.42857142857144,6.428571428571429,6.428571428571429,642.8571428571429,0.0,0.0,0.0,0.0,0.0,25.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,0.0,0.0,6.428571428571429,0.0,12.857142857142858,0.0,0.0,6.428571428571429,6.428571428571429,38.57142857142857,6.428571428571429,0.0,51.42857142857143,0.0,0.0,0.0,32.14285714285714,6.428571428571429,0.0,0.0,6.428571428571429,0.0,12.857142857142858,0.0,0.0,6.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.642857142857142,19.285714285714285,6.428571428571429,327.85714285714283
Philip Billing,DEN,23,90.0,0,0,0,0,3,0,0,0,55.0,2.0,3,2.0,0.2,0.2,0.1,1.0,0.0,23.0,35.0,65.7,4.0,23.0,0.0,0.0,0.0,427.0,109.0,10.0,16.0,62.5,10.0,13.0,76.9,3.0,4.0,75.0,0.0,1.0,3.0,1.0,0.0,33.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,5.0,6.0,0.0,7.0,17.0,30.0,8.0,2.0,55.0,0.0,0.0,0.0,87.0,14.0,0.0,0.0,3.0,1.0,22.0,2.0,0,0,0,0,0.0,0.0,0,7.0,4.0,2.0,66.7,True,Bournemouth,Everton,5,2019-2020,CM,None,None,None,2019,1.0,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,23.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,55.0,2.0,3.0,2.0,0.2,0.2,0.1,1.0,0.0,23.0,35.0,65.7,4.0,23.0,0.0,0.0,0.0,427.0,109.0,10.0,16.0,62.5,10.0,13.0,76.9,3.0,4.0,75.0,0.0,1.0,3.0,1.0,0.0,33.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,5.0,6.0,0.0,7.0,17.0,30.0,8.0,2.0,55.0,0.0,0.0,0.0,87.0,14.0,0.0,0.0,3.0,1.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,66.7,1.0,1.4,1.5,3.0,1.0,51.0
Harry Wilson,WAL,22,56.0,0,0,0,0,2,1,0,0,21.0,0.0,0,1.0,0.1,0.1,0.0,0.0,0.0,10.0,16.0,62.5,0.0,14.0,0.0,0.0,0.0,166.0,4.0,5.0,5.0,100.0,2.0,4.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,21.0,0.0,0.0,0.0,52.0,18.0,1.0,0.0,0.0,1.0,14.0,3.0,0,0,1,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,Bournemouth,Everton,5,2019-2020,RM,None,None,None,2019,0.6222222222222222,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,35.357142857142854,0.0,0.0,0.0,0.0,3.2142857142857144,1.6071428571428572,0.0,0.0,33.75,0.0,0.0,1.6071428571428572,0.16071428571428573,0.16071428571428573,0.0,0.0,0.0,16.07142857142857,25.714285714285715,100.44642857142857,0.0,22.5,0.0,0.0,0.0,266.7857142857143,6.428571428571429,8.035714285714285,8.035714285714285,160.71428571428572,3.2142857142857144,6.428571428571429,80.35714285714286,3.2142857142857144,4.821428571428571,107.19642857142857,0.0,0.0,0.0,0.0,0.0,24.107142857142858,1.6071428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6071428571428572,0.0,0.0,0.0,0.0,0.0,22.5,12.857142857142858,0.0,33.75,0.0,0.0,0.0,83.57142857142857,28.928571428571427,1.6071428571428572,0.0,0.0,1.6071428571428572,22.5,4.821428571428571,0.0,0.0,1.6071428571428572,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,1.6071428571428572,0.0,1.0,2.25,2.4107142857142856,4.821428571428571,1.6071428571428572,81.96428571428571
Ryan Fraser,SCO,25,34.0,1,0,0,0,1,1,0,0,19.0,0.0,1,3.0,0.1,0.1,0.0,0.0,0.0,5.0,12.0,41.7,2.0,8.0,1.0,0.0,0.0,108.0,43.0,2.0,4.0,50.0,1.0,2.0,50.0,2.0,6.0,33.3,0.1,0.0,3.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,8.0,7.0,4.0,0.0,19.0,0.0,0.0,0.0,37.0,19.0,1.0,0.0,0.0,0.0,6.0,2.0,0,0,1,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Bournemouth,Everton,5,2019-2020,RM,None,None,None,2019,0.37777777777777777,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,66.17647058823529,2.6470588235294117,0.0,0.0,0.0,2.6470588235294117,2.6470588235294117,0.0,0.0,50.294117647058826,0.0,2.6470588235294117,7.9411764705882355,0.2647058823529412,0.2647058823529412,0.0,0.0,0.0,13.23529411764706,31.764705882352942,110.38235294117648,5.294117647058823,21.176470588235293,2.6470588235294117,0.0,0.0,285.88235294117646,113.82352941176471,5.294117647058823,10.588235294117647,132.35294117647058,2.6470588235294117,5.294117647058823,132.35294117647058,5.294117647058823,15.882352941176471,88.1470588235294,0.2647058823529412,0.0,7.9411764705882355,0.0,0.0,26.47058823529412,5.294117647058823,0.0,2.6470588235294117,0.0,5.294117647058823,0.0,5.294117647058823,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9411764705882355,2.6470588235294117,5.294117647058823,0.0,7.9411764705882355,21.176470588235293,18.529411764705884,10.588235294117647,0.0,50.294117647058826,0.0,0.0,0.0,97.94117647058823,50.294117647058826,2.6470588235294117,0.0,0.0,0.0,15.882352941176471,5.294117647058823,0.0,0.0,2.6470588235294117,0.0,0.0,0.0,0.0,5.294117647058823,0.0,0.0,0.0,1.0,3.705882352941176,3.9705882352941178,7.9411764705882355,2.6470588235294117,135.0
Diego Rico,ESP,26,89.0,0,1,0,0,0,0,0,0,72.0,1.0,3,0.0,0.0,0.0,0.4,3.0,1.0,35.0,60.0,58.3,4.0,29.0,2.0,1.0,1.0,561.0,415.0,20.0,28.0,71.4,12.0,23.0,52.2,3.0,6.0,50.0,0.3,2.0,4.0,0.0,0.0,40.0,20.0,1.0,1.0,0.0,5,16.0,3.0,1.0,2.0,0.0,0.0,2.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,3.0,32.0,29.0,11.0,0.0,72.0,100.0,0.0,0.0,162.0,95.0,0.0,0.0,0.0,0.0,24.0,1.0,0,0,0,0,0.0,0.0,0,4.0,1.0,3.0,25.0,True,Bournemouth,Everton,5,2019-2020,LB,None,None,None,2019,0.9888888888888889,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,26.29213483146067,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,0.0,72.80898876404494,1.0112359550561798,3.033707865168539,0.0,0.0,0.0,0.4044943820224719,3.033707865168539,1.0112359550561798,35.39325842696629,60.674157303370784,58.955056179775276,4.044943820224719,29.325842696629213,2.0224719101123596,1.0112359550561798,1.0112359550561798,567.3033707865168,419.66292134831457,20.224719101123593,28.314606741573034,72.20224719101124,12.134831460674157,23.258426966292134,52.78651685393258,3.033707865168539,6.067415730337078,50.561797752808985,0.3033707865168539,2.0224719101123596,4.044943820224719,0.0,0.0,40.44943820224719,20.224719101123593,1.0112359550561798,1.0112359550561798,0.0,5.056179775280898,16.179775280898877,3.033707865168539,1.0112359550561798,2.0224719101123596,0.0,0.0,2.0224719101123596,1.0112359550561798,0.0,1.0112359550561798,0.0,0.0,1.0112359550561798,0.0,1.0112359550561798,0.0,0.0,4.044943820224719,4.044943820224719,0.0,3.033707865168539,32.359550561797754,29.325842696629213,11.123595505617978,0.0,72.80898876404494,101.12359550561797,0.0,0.0,163.8202247191011,96.06741573033707,0.0,0.0,0.0,0.0,24.269662921348313,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.044943820224719,1.0112359550561798,3.033707865168539,25.280898876404493,1.0,1.4157303370786516,1.5168539325842696,3.033707865168539,1.0112359550561798,51.573033707865164
Chris Mepham,WAL,21,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Bournemouth,Everton,5,2019-2020,CB,LB,None,None,2019,0.011111111111111112,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.99999999999999,135.0,270.0,90.0,4590.0
Nathan Ake,NED,24,90.0,0,0,0,0,1,0,0,0,51.0,3.0,0,0.0,0.1,0.1,0.0,0.0,0.0,32.0,36.0,88.9,0.0,31.0,1.0,1.0,1.0,602.0,197.0,11.0,13.0,84.6,16.0,18.0,88.9,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,2.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,3.0,10.0,0.0,18.0,36.0,13.0,2.0,1.0,51.0,100.0,0.0,0.0,135.0,91.0,0.0,0.0,0.0,0.0,28.0,1.0,0,0,2,0,0.0,0.0,0,3.0,1.0,3.0,25.0,True,Bournemouth,Everton,5,2019-2020,CB,None,None,None,2019,1.0,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,3.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,32.0,36.0,88.9,0.0,31.0,1.0,1.0,1.0,602.0,197.0,11.0,13.0,84.6,16.0,18.0,88.9,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,3.0,10.0,0.0,18.0,36.0,13.0,2.0,1.0,51.0,100.0,0.0,0.0,135.0,91.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0,1.0,1.4,1.5,3.0,1.0,51.0
Steve Cook,ENG,28,90.0,0,0,0,0,0,0,0,0,52.0,2.0,1,1.0,0.0,0.0,0.1,1.0,0.0,26.0,40.0,65.0,1.0,26.0,0.0,0.0,0.0,478.0,174.0,9.0,10.0,90.0,16.0,21.0,76.2,1.0,6.0,16.7,0.0,1.0,1.0,0.0,0.0,36.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,3.0,9.0,0.0,8.0,34.0,15.0,3.0,2.0,52.0,0.0,0.0,0.0,110.0,57.0,0.0,0.0,0.0,0.0,26.0,0.0,0,1,3,0,0.0,0.0,0,5.0,5.0,2.0,71.4,True,Bournemouth,Everton,5,2019-2020,CB,None,None,None,2019,1.0,Bournemouth_Everton,Bournemouth_Everton_2019,Bournemouth,Everton,2019,5,Bournemouth,1.4,1.5,Everton,3.0,1.0,2019-09-15,Paul Tierney,Vitality Stadium,Sun,14:00,"10,416",51,Bournemouth,Everton,Bournemouth,Everton,Bournemouth_Everton,Bournemouth_Everton_2019,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,26.0,40.0,65.0,1.0,26.0,0.0,0.0,0.0,478.0,174.0,9.0,10.0,90.0,16.0,21.0,76.2,1.0,6.0,16.7,0.0,1.0,1.0,0.0,0.0,36.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,3.0,9.0,0.0,8.0,34.0,15.0,3.0,2.0,52.0,0.0,0.0,0.0,110.0,57.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,71.4,1.0,1.4,1.5,3.0,1.0,51.0
